_id,trimestre,pais,tipo_de_mercado,servicio,concepto,operador,tipo_de_ingreso,tipo_de_paquete,unidades,ingresos,ingresos_por_operador,empleados_por_operador,paquetes
47,2005T2,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,45.73,,,
48,2005T2,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,59.86,,,
49,2005T2,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,271.34,,
50,2005T2,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,280.87,,
51,2005T2,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,375.35,,
52,2005T2,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4247.06,,
53,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,526.04,,,
54,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,63.35,,,
55,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Comunicaciones de Empresa,N/A,Millones de euros,311.73,,,
56,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Otros servicios minoristas,N/A,Millones de euros,268.31,,,
57,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios audiovisuales,N/A,Millones de euros,1397.55,,,
58,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios de información telefónica,N/A,Millones de euros,23.88,,,
59,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía fija,N/A,Millones de euros,2093.24,,,
60,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía móvil,N/A,Millones de euros,2916.79,,,
61,2005T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Venta y alquiler de terminales,N/A,Millones de euros,558.06,,,
62,2005T2,España,Servicio minorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,752.89,,
63,2005T2,España,Servicio minorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,2059.72,,
64,2005T2,España,Servicio minorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,1099.28,,
65,2005T3,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,1001.0,
66,2005T3,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,37716.0,
67,2005T3,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4386.0,
68,2005T3,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,2931.0,
69,2005T3,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,15628.0,
70,2005T3,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,9337.0,
71,2005T3,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,1961.0,
72,2005T3,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4514.0,
73,2005T3,España,Servicio mayorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,1048.74,,
74,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Alquiler de circuitos,N/A,Millones de euros,148.17,,,
75,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Banda ancha fija mayorista,N/A,Millones de euros,164.56,,,
76,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión fija,N/A,Millones de euros,363.51,,,
77,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión móvil,N/A,Millones de euros,1172.9,,,
78,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Otros servicios mayoristas,N/A,Millones de euros,94.31,,,
79,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,42.82,,,
80,2005T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,60.06,,,
81,2005T3,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,289.8,,
82,2005T3,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,282.67,,
83,2005T3,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,425.13,,
84,2005T3,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4235.75,,
85,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,547.43,,,
86,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,88.01,,,
87,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Comunicaciones de Empresa,N/A,Millones de euros,308.19,,,
88,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Otros servicios minoristas,N/A,Millones de euros,234.41,,,
89,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios audiovisuales,N/A,Millones de euros,940.65,,,
90,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios de información telefónica,N/A,Millones de euros,26.12,,,
91,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía fija,N/A,Millones de euros,2004.17,,,
92,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía móvil,N/A,Millones de euros,3096.39,,,
93,2005T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Venta y alquiler de terminales,N/A,Millones de euros,520.59,,,
94,2005T3,España,Servicio minorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,813.61,,
95,2005T3,España,Servicio minorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,1576.04,,
96,2005T3,España,Servicio minorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,1140.55,,
97,2006T1,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,982.0,
98,2006T1,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,35477.0,
99,2006T1,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4543.0,
100,2006T1,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,3497.0,
101,2006T1,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,15401.0,
102,2006T1,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,9332.0,
103,2006T1,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,1986.0,
104,2006T1,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4522.0,
105,2006T1,España,Servicio mayorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,885.34,,
106,2006T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Alquiler de circuitos,N/A,Millones de euros,156.57,,,
107,2006T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Banda ancha fija mayorista,N/A,Millones de euros,95.0,,,
108,2006T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión fija,N/A,Millones de euros,375.04,,,
109,2006T1,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión móvil,N/A,Millones de euros,975.42,,,
