operador,servicio,tecnologia_de_acceso,concepto,id,trimestre,tipo_de_trafico,tipo_de_contrato,frecuencia,lineas_o_accesos,estaciones_base,trafico_de_datos,nodos_radio
Orange,Red de distribución,5G,Nodos,4620,2022T3,N/A,N/A,2100 MHz,0.0,0.0,0.0,82267.0
Orange,Red de distribución,Resto tecnologías,Estaciones Base,1473,2022T3,N/A,N/A,N/A,0.0,250665.0,0.0,0.0
Otros,Banda Ancha móvil,4G/4.5G,Líneas,4086,2022T3,N/A,Pospago,N/A,8804124.0,0.0,0.0,0.0
Otros,Banda Ancha móvil,4G/4.5G,Tráfico - datos,3345,2022T3,Nacional,N/A,N/A,0.0,0.0,328868.37,0.0
Otros,Banda Ancha móvil,5G,Líneas,548,2025T1,N/A,Pospago,N/A,110718.0,0.0,0.0,0.0
Otros,Banda Ancha móvil,5G,Tráfico - datos,563,2025T1,Nacional,N/A,N/A,0.0,0.0,276.35,0.0
Otros,Banda Ancha móvil,Resto tecnologías,Tráfico - datos,3357,2022T3,Nacional,N/A,N/A,0.0,0.0,59198.7,0.0
Otros,Red de distribución,4G/4.5G,Estaciones Base,1053,2022T4,N/A,N/A,N/A,0.0,17.0,0.0,0.0
Vodafone,Banda Ancha móvil,4G/4.5G,Líneas,6396,2022T3,N/A,Pospago,N/A,101973354.0,0.0,0.0,0.0
Vodafone,Banda Ancha móvil,4G/4.5G,Tráfico - datos,3368,2022T3,Nacional,N/A,N/A,0.0,0.0,5283173.31,0.0
Vodafone,Banda Ancha móvil,5G,Líneas,6418,2022T3,N/A,Pospago,N/A,45118667.0,0.0,0.0,0.0
Vodafone,Banda Ancha móvil,5G,Tráfico - datos,3379,2022T3,Nacional,N/A,N/A,0.0,0.0,351012.26,0.0
Vodafone,Banda Ancha móvil,Resto tecnologías,Tráfico - datos,3390,2022T3,Nacional,N/A,N/A,0.0,0.0,116135.24,0.0
Vodafone,Red de distribución,4G/4.5G,Estaciones Base,3493,2022T3,N/A,N/A,N/A,0.0,211924.0,0.0,0.0
Vodafone,Red de distribución,5G,Estaciones Base,3504,2022T3,N/A,N/A,N/A,0.0,63199.0,0.0,0.0
Vodafone,Red de distribución,5G,Nodos,7207,2022T3,N/A,N/A,3.5 GHz,0.0,0.0,0.0,75526.0
Vodafone,Red de distribución,Resto tecnologías,Estaciones Base,3515,2022T3,N/A,N/A,N/A,0.0,329064.0,0.0,0.0
