_id,anno,pais,tipo_de_mercado,servicio,concepto,operador,tipo_de_ingreso,tipo_de_cliente,segmento,tipo_de_trafico,tipo_de_contrato,tipo_de_linea,tipo_de_mensaje,tipo_de_trafico_de_mensaje,tecnologia_de_acceso,velocidad_baf,tipo_de_oferta,tipo_de_tarifa,tipo_de_ce_minorista,tipo_de_circuito,tipo_de_emision,tipo_de_operador,tipo_de_medio,tipo_de_publicidad,tipo_de_contratacion,tipo_servicio_audiovisual_mayorista,tipo_de_ba_may,tipo_de_interconexion,tipo_de_tarificacion_en_interconexion,tipo_de_transmision_de_datos,tipo_de_ambito,tipo_de_acceso_de_infraestructuras,unidades,ingresos,ingresos_por_operador,clientes,clientes_por_operador,lineas_o_accesos,tasa_de_penetracion,lineas_o_accesos_por_operador,portabilidades,trafico,trafico_por_operador,mensajes,mensajes_por_operador_1,trafico_de_datos,trafico_de_datos_por_operador,circuitos,publicidad,contrataciones,fibra_oscura_por_operador,telefonos_publicos,cabinas,estaciones_base_por_operador
1,1997,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio privado,Unidades,,,,,,,,,,,,,,,,,,,27268.0,,
2,1997,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio público,Unidades,,,,,,,,,,,,,,,,,,,63456.0,,
3,1997,España,Servicio minorista,Telefonía móvil,Líneas,Movistar,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,3187696.0,,,,,,,,,,,,,,
4,1997,España,Servicio minorista,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,4040901.0,,,,,,,,,,,,,,,,
5,1997,España,Servicio minorista,Telefonía móvil,Líneas,Vodafone,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,853205.0,,,,,,,,,,,,,,
6,1998,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio privado,Unidades,,,,,,,,,,,,,,,,,,,33583.0,,
7,1998,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio público,Unidades,,,,,,,,,,,,,,,,,,,66581.0,,
8,1998,España,Servicio minorista,Telefonía móvil,Líneas,Movistar,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,4894264.0,,,,,,,,,,,,,,
9,1998,España,Servicio minorista,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,6437444.0,,,,,,,,,,,,,,,,
10,1998,España,Servicio minorista,Telefonía móvil,Líneas,Vodafone,N/A,N/A,N/A,N/A,N/A,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,1543180.0,,,,,,,,,,,,,,
11,1999,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio privado,Unidades,,,,,,,,,,,,,,,,,,,37803.0,,
12,1999,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio público,Unidades,,,,,,,,,,,,,,,,,,,67493.0,,
13,1999,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,2123215.0,,,,,,,,,,,,,,
14,1999,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,109187.0,,,,,,,,,,,,,,,,
15,1999,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,1253604.0,,,,,,,,,,,,,,,,
16,1999,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,760424.0,,,,,,,,,,,,,,,,
17,1999,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Futbol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,6150094.0,,,,
18,1999,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Películas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,6093565.0,,,,
19,1999,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Resto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,167900.0,,,,
20,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,Mediaset España,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,456.66,,,,,,,,,,,,,,,,,,,
21,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,950.73,,,,,,,,,,,,,,,,,,,
22,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,9.94,,,,,,,,,,,,,,,,,,,,
23,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,571.87,,,,,,,,,,,,,,,,,,,,
24,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,368.93,,,,,,,,,,,,,,,,,,,,
25,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Radio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,200.4,,,,,,,,,,,,,,,,,,,
26,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Privado,Radio,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,200.4,,,,,,,,,,,,,,,,,,,,
27,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,0.0,,,,,,,,,,,,,,,,,,,,
28,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,3.18,,,,,,,,,,,,,,,,,,,,
29,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,28.65,,,,,,,,,,,,,,,,,,,,
30,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,En abierto,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,456.66,,,,,,,,,,,,,,,,,,,,
31,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,En abierto,Público,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,212.28,,,,,,,,,,,,,,,,,,,,
32,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Subvenciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,285.04,285.04,,,,,,,,,,,,,,,,,,,
33,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,Resto,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,129.85,,,,,,,,,,,,,,,,,,,
34,1999,España,Servicio minorista,Audiovisual minorista,Ingresos,Televisió de Catalunya,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,114.26,,,,,,,,,,,,,,,,,,,
35,1999,España,Servicio minorista,Telefonía móvil,Líneas,Movistar,N/A,N/A,N/A,N/A,Pospago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,3540196.0,,,,,,,,,,,,,,
36,1999,España,Servicio minorista,Telefonía móvil,Líneas,Movistar,N/A,N/A,N/A,N/A,Prepago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,5507040.0,,,,,,,,,,,,,,
37,1999,España,Servicio minorista,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,N/A,Pospago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,5763708.0,,,,,,,,,,,,,,,,
38,1999,España,Servicio minorista,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,N/A,Prepago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,9240000.0,,,,,,,,,,,,,,,,
39,1999,España,Servicio minorista,Telefonía móvil,Líneas,Orange,N/A,N/A,N/A,N/A,Pospago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,253332.0,,,,,,,,,,,,,,
40,1999,España,Servicio minorista,Telefonía móvil,Líneas,Orange,N/A,N/A,N/A,N/A,Prepago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,766920.0,,,,,,,,,,,,,,
41,1999,España,Servicio minorista,Telefonía móvil,Líneas,Vodafone,N/A,N/A,N/A,N/A,Pospago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,1970180.0,,,,,,,,,,,,,,
42,1999,España,Servicio minorista,Telefonía móvil,Líneas,Vodafone,N/A,N/A,N/A,N/A,Prepago,Líneas de voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,2966040.0,,,,,,,,,,,,,,
43,2000,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio privado,Unidades,,,,,,,,,,,,,,,,,,,40877.0,,
44,2000,España,N/A,Infraestructura,Nº de teléfonos de uso público,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dominio público,Unidades,,,,,,,,,,,,,,,,,,,68022.0,,
45,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,1655.36,,,,,,,,,,,,,,,,,,,
46,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,N/A,Voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Itinerancia de clientes de redes extranjeras,N/A,N/A,N/A,N/A,Millones de euros,399.39,,,,,,,,,,,,,,,,,,,,
47,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,N/A,Voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terminación,N/A,N/A,Internacional,N/A,Millones de euros,201.48,,,,,,,,,,,,,,,,,,,,
48,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,N/A,Voz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terminación,N/A,N/A,Nacional,N/A,Millones de euros,2016.71,,,,,,,,,,,,,,,,,,,,
49,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,Orange,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,325.32,,,,,,,,,,,,,,,,,,,
50,2000,España,Servicio mayorista,Interconexión móvil,Ingresos,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,636.9,,,,,,,,,,,,,,,,,,,
51,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millones de minutos,,,,,,,,,,5986.74,,,,,,,,,,,
52,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Itinerancia de clientes de redes extranjeras,N/A,N/A,N/A,N/A,millones de minutos,,,,,,,,,471.28,,,,,,,,,,,,
53,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terminación,N/A,N/A,Internacional,N/A,millones de minutos,,,,,,,,,911.69,,,,,,,,,,,,
54,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terminación,N/A,N/A,Nacional,N/A,millones de minutos,,,,,,,,,9990.43,,,,,,,,,,,,
55,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,Orange,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millones de minutos,,,,,,,,,,1210.94,,,,,,,,,,,
56,2000,España,Servicio mayorista,Interconexión móvil,Tráfico - minutos,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,millones de minutos,,,,,,,,,,4175.72,,,,,,,,,,,
57,2000,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,2982880.0,,,,,,,,,,,,,,
58,2000,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,299576.0,,,,,,,,,,,,,,,,
59,2000,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,1684622.0,,,,,,,,,,,,,,,,
60,2000,España,Servicio minorista,Audiovisual minorista,Abonados,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,998682.0,,,,,,,,,,,,,,,,
61,2000,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Futbol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,6153193.0,,,,
62,2000,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Películas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,7535693.0,,,,
63,2000,España,Servicio minorista,Audiovisual minorista,Contrataciones PPV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,Resto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,,,,,,,,,,,,,,,154198.0,,,,
64,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,Atresmedia,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,625.83,,,,,,,,,,,,,,,,,,,
65,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,Mediaset España,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,526.27,,,,,,,,,,,,,,,,,,,
66,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,1129.61,,,,,,,,,,,,,,,,,,,
67,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,18.91,,,,,,,,,,,,,,,,,,,,
68,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,726.21,,,,,,,,,,,,,,,,,,,,
69,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Cuotas de televisión de pago,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,N/A,Televisión,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,384.48,,,,,,,,,,,,,,,,,,,,
70,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Radio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,,292.53,,,,,,,,,,,,,,,,,,,
71,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Privado,Radio,Patrocinio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,7.85,,,,,,,,,,,,,,,,,,,,
72,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Privado,Radio,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,284.67,,,,,,,,,,,,,,,,,,,,
73,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Patrocinio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,0.01,,,,,,,,,,,,,,,,,,,,
74,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión por cable,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,0.06,,,,,,,,,,,,,,,,,,,,
75,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión satélite,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,10.27,,,,,,,,,,,,,,,,,,,,
76,2000,España,Servicio minorista,Audiovisual minorista,Ingresos,N/A,Ingresos publicitarios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Televisión Terrestre,N/A,N/A,N/A,N/A,N/A,De pago,Privado,Televisión,Publicidad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Millones de euros,34.48,,,,,,,,,,,,,,,,,,,,
