_id,mes,pais,servicio,concepto,operador,segmento,tecnologia_de_acceso,contrato,terminal_de_telefonia_movil,linea_ba_movil,tipo_de_ba_mayorista,tipo_de_portabilidad,unidades,lineas,tasa_de_penetracion,portabilidades
1,2007-01,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle compartido,N/A,Unidades,553595.0,,
2,2007-01,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle desagregado,N/A,Unidades,430878.0,,
3,2007-01,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Concentración ATM/IP,N/A,Unidades,386883.0,,
4,2007-01,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Reventa,N/A,Unidades,191566.0,,
5,2007-01,España,Banda ancha fija minorista,Líneas,Euskaltel,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,144008.0,0.3,
6,2007-01,España,Banda ancha fija minorista,Líneas,Movistar,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,3782001.0,8.4,
7,2007-01,España,Banda ancha fija minorista,Líneas,Ono,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,1142696.0,2.6,
8,2007-01,España,Banda ancha fija minorista,Líneas,Resto,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,166605.0,0.4,
9,2007-01,España,Banda ancha fija minorista,Líneas,Resto,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,1562922.0,3.5,
10,2007-01,España,Telefonía fija,Líneas,Euskaltel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,46409.0,0.1,
11,2007-01,España,Telefonía fija,Líneas,Euskaltel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,258706.0,0.6,
12,2007-01,España,Telefonía fija,Líneas,Jazztel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,4390.0,0.0,
13,2007-01,España,Telefonía fija,Líneas,Jazztel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,172337.0,0.4,
14,2007-01,España,Telefonía fija,Líneas,Movistar,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,6389339.0,14.3,
15,2007-01,España,Telefonía fija,Líneas,Movistar,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,10267333.0,22.9,
16,2007-01,España,Telefonía fija,Líneas,Ono,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,219746.0,0.5,
17,2007-01,España,Telefonía fija,Líneas,Ono,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,1694951.0,3.8,
18,2007-01,España,Telefonía fija,Líneas,Orange,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,73055.0,0.2,
19,2007-01,España,Telefonía fija,Líneas,Orange,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,947.0,0.0,
20,2007-01,España,Telefonía fija,Líneas,Resto,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,54241.0,0.1,
21,2007-01,España,Telefonía fija,Líneas,Resto,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,240073.0,0.5,
22,2007-01,España,Telefonía fija,Líneas,Vodafone,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,107001.0,0.2,
23,2007-01,España,Telefonía fija,Líneas,Vodafone,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,122264.0,0.3,
24,2007-01,España,Telefonía fija,Portabilidades,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,62705.0
25,2007-01,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,11956741.0,26.7,
26,2007-01,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,9297598.0,20.8,
27,2007-01,España,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,Asociados a máquinas,N/A,N/A,N/A,Unidades,769638.0,1.7,
28,2007-01,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,77703.0,0.2,
29,2007-01,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,24185.0,0.1,
30,2007-01,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5365172.0,12.0,
31,2007-01,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5692306.0,12.7,
32,2007-01,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,7953401.0,17.8,
33,2007-01,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5944669.0,13.3,
34,2007-01,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,21768.0,0.0,
35,2007-01,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,21811.0,0.0,
36,2007-01,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,161021.0
37,2007-01,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,144287.0
38,2007-01,España,Telefonía móvil,Portabilidades,OMV,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,87700.0
39,2007-01,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,213945.0
40,2007-01,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,117255.0
41,2007-01,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,127808.0
42,2007-01,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,144832.0
43,2007-01,España,Telefonía móvil,Portabilidades,Yoigo,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,8700.0
44,2007-02,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle compartido,N/A,Unidades,585182.0,,
45,2007-02,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle desagregado,N/A,Unidades,452103.0,,
46,2007-02,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Concentración ATM/IP,N/A,Unidades,385365.0,,
47,2007-02,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Reventa,N/A,Unidades,185456.0,,
48,2007-02,España,Banda ancha fija minorista,Líneas,Euskaltel,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,147337.0,0.3,
49,2007-02,España,Banda ancha fija minorista,Líneas,Movistar,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,3858960.0,8.6,
50,2007-02,España,Banda ancha fija minorista,Líneas,Ono,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,1169014.0,2.6,
51,2007-02,España,Banda ancha fija minorista,Líneas,Resto,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,171130.0,0.4,
52,2007-02,España,Banda ancha fija minorista,Líneas,Resto,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,1608106.0,3.6,
53,2007-02,España,Telefonía fija,Líneas,Euskaltel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,46959.0,0.1,
54,2007-02,España,Telefonía fija,Líneas,Euskaltel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,261241.0,0.6,
55,2007-02,España,Telefonía fija,Líneas,Jazztel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,4512.0,0.0,
56,2007-02,España,Telefonía fija,Líneas,Jazztel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,176728.0,0.4,
57,2007-02,España,Telefonía fija,Líneas,Movistar,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,6393227.0,14.3,
58,2007-02,España,Telefonía fija,Líneas,Movistar,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,10262235.0,22.9,
59,2007-02,España,Telefonía fija,Líneas,Ono,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,219757.0,0.5,
60,2007-02,España,Telefonía fija,Líneas,Ono,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,1695034.0,3.8,
61,2007-02,España,Telefonía fija,Líneas,Orange,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,73116.0,0.2,
62,2007-02,España,Telefonía fija,Líneas,Orange,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,827.0,0.0,
63,2007-02,España,Telefonía fija,Líneas,Resto,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,56523.0,0.1,
64,2007-02,España,Telefonía fija,Líneas,Resto,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,242196.0,0.5,
65,2007-02,España,Telefonía fija,Líneas,Vodafone,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,108259.0,0.2,
66,2007-02,España,Telefonía fija,Líneas,Vodafone,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,135953.0,0.3,
67,2007-02,España,Telefonía fija,Portabilidades,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,68270.0
68,2007-02,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,12062947.0,26.9,
69,2007-02,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,9295302.0,20.8,
70,2007-02,España,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,Asociados a máquinas,N/A,N/A,N/A,Unidades,792915.0,1.8,
71,2007-02,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,136465.0,0.3,
72,2007-02,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,45404.0,0.1,
73,2007-02,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5360227.0,12.0,
74,2007-02,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5621538.0,12.6,
75,2007-02,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,8039069.0,18.0,
76,2007-02,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5954970.0,13.3,
77,2007-02,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,29875.0,0.1,
78,2007-02,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,37172.0,0.1,
79,2007-02,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,124270.0
80,2007-02,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,139658.0
81,2007-02,España,Telefonía móvil,Portabilidades,OMV,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,77630.0
82,2007-02,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,180073.0
83,2007-02,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,94695.0
84,2007-02,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,115442.0
85,2007-02,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,100878.0
86,2007-02,España,Telefonía móvil,Portabilidades,Yoigo,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,6924.0
87,2007-03,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle compartido,N/A,Unidades,605187.0,,
88,2007-03,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle desagregado,N/A,Unidades,466038.0,,
89,2007-03,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Concentración ATM/IP,N/A,Unidades,382794.0,,
90,2007-03,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Reventa,N/A,Unidades,178946.0,,
91,2007-03,España,Banda ancha fija minorista,Líneas,Euskaltel,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,149831.0,0.3,
92,2007-03,España,Banda ancha fija minorista,Líneas,Movistar,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,3967221.0,8.9,
93,2007-03,España,Banda ancha fija minorista,Líneas,Ono,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,1190121.0,2.7,
94,2007-03,España,Banda ancha fija minorista,Líneas,Resto,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,176045.0,0.4,
95,2007-03,España,Banda ancha fija minorista,Líneas,Resto,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,1632965.0,3.6,
96,2007-03,España,Telefonía fija,Líneas,Euskaltel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,69008.0,0.2,
97,2007-03,España,Telefonía fija,Líneas,Euskaltel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,263978.0,0.6,
98,2007-03,España,Telefonía fija,Líneas,Jazztel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,4815.0,0.0,
99,2007-03,España,Telefonía fija,Líneas,Jazztel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,171551.0,0.4,
100,2007-03,España,Telefonía fija,Líneas,Movistar,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,6407433.0,14.3,
101,2007-03,España,Telefonía fija,Líneas,Movistar,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,10252116.0,22.9,
102,2007-03,España,Telefonía fija,Líneas,Ono,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,194450.0,0.4,
103,2007-03,España,Telefonía fija,Líneas,Ono,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,1678478.0,3.7,
104,2007-03,España,Telefonía fija,Líneas,Orange,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,73514.0,0.2,
105,2007-03,España,Telefonía fija,Líneas,Orange,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,789.0,0.0,
106,2007-03,España,Telefonía fija,Líneas,Resto,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,57169.0,0.1,
107,2007-03,España,Telefonía fija,Líneas,Resto,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,243792.0,0.5,
108,2007-03,España,Telefonía fija,Líneas,Vodafone,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,111786.0,0.2,
109,2007-03,España,Telefonía fija,Líneas,Vodafone,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,152197.0,0.3,
110,2007-03,España,Telefonía fija,Portabilidades,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,59598.0
111,2007-03,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,12147900.0,27.1,
112,2007-03,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,9283759.0,20.7,
113,2007-03,España,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,Asociados a máquinas,N/A,N/A,N/A,Unidades,826145.0,1.8,
114,2007-03,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,170124.0,0.4,
115,2007-03,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,95064.0,0.2,
116,2007-03,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5384951.0,12.0,
117,2007-03,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5593687.0,12.5,
118,2007-03,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,8155844.0,18.2,
119,2007-03,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,6128488.0,13.7,
120,2007-03,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,46576.0,0.1,
121,2007-03,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,54677.0,0.1,
122,2007-03,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,128184.0
123,2007-03,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,131233.0
124,2007-03,España,Telefonía móvil,Portabilidades,OMV,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,28177.0
125,2007-03,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,131127.0
126,2007-03,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,87666.0
127,2007-03,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,109359.0
128,2007-03,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,110224.0
129,2007-03,España,Telefonía móvil,Portabilidades,Yoigo,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,11370.0
130,2007-04,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle compartido,N/A,Unidades,628482.0,,
131,2007-04,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle desagregado,N/A,Unidades,482051.0,,
132,2007-04,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Concentración ATM/IP,N/A,Unidades,375996.0,,
133,2007-04,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Reventa,N/A,Unidades,171637.0,,
134,2007-04,España,Banda ancha fija minorista,Líneas,Euskaltel,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,151602.0,0.3,
135,2007-04,España,Banda ancha fija minorista,Líneas,Movistar,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,4033798.0,9.0,
136,2007-04,España,Banda ancha fija minorista,Líneas,Ono,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,1204159.0,2.7,
137,2007-04,España,Banda ancha fija minorista,Líneas,Resto,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,181284.0,0.4,
138,2007-04,España,Banda ancha fija minorista,Líneas,Resto,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,1658166.0,3.7,
139,2007-04,España,Telefonía fija,Líneas,Euskaltel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,69203.0,0.2,
140,2007-04,España,Telefonía fija,Líneas,Euskaltel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,264412.0,0.6,
141,2007-04,España,Telefonía fija,Líneas,Jazztel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,4788.0,0.0,
142,2007-04,España,Telefonía fija,Líneas,Jazztel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,170284.0,0.4,
143,2007-04,España,Telefonía fija,Líneas,Movistar,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,6410792.0,14.3,
144,2007-04,España,Telefonía fija,Líneas,Movistar,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,10230546.0,22.8,
145,2007-04,España,Telefonía fija,Líneas,Ono,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,197853.0,0.4,
146,2007-04,España,Telefonía fija,Líneas,Ono,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,1674651.0,3.7,
147,2007-04,España,Telefonía fija,Líneas,Orange,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,73689.0,0.2,
148,2007-04,España,Telefonía fija,Líneas,Orange,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,767.0,0.0,
149,2007-04,España,Telefonía fija,Líneas,Resto,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,58352.0,0.1,
150,2007-04,España,Telefonía fija,Líneas,Resto,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,246555.0,0.6,
151,2007-04,España,Telefonía fija,Líneas,Vodafone,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,113713.0,0.3,
152,2007-04,España,Telefonía fija,Líneas,Vodafone,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,162366.0,0.4,
153,2007-04,España,Telefonía fija,Portabilidades,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,,,56879.0
154,2007-04,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,12223292.0,27.3,
155,2007-04,España,Telefonía móvil,Líneas,Movistar,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,9229572.0,20.6,
156,2007-04,España,Telefonía móvil,Líneas,N/A,N/A,N/A,N/A,Asociados a máquinas,N/A,N/A,N/A,Unidades,850350.0,1.9,
157,2007-04,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,165087.0,0.4,
158,2007-04,España,Telefonía móvil,Líneas,OMV,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,151311.0,0.3,
159,2007-04,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5412272.0,12.1,
160,2007-04,España,Telefonía móvil,Líneas,Orange,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,5112149.0,11.4,
161,2007-04,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,8270212.0,18.5,
162,2007-04,España,Telefonía móvil,Líneas,Vodafone,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,6057269.0,13.5,
163,2007-04,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Pospago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,55306.0,0.1,
164,2007-04,España,Telefonía móvil,Líneas,Yoigo,N/A,N/A,Prepago,Sin tipo de terminal,N/A,N/A,N/A,Unidades,63088.0,0.1,
165,2007-04,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,116379.0
166,2007-04,España,Telefonía móvil,Portabilidades,Movistar,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,109789.0
167,2007-04,España,Telefonía móvil,Portabilidades,OMV,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,1846.0
168,2007-04,España,Telefonía móvil,Portabilidades,OMV,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,16701.0
169,2007-04,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,102642.0
170,2007-04,España,Telefonía móvil,Portabilidades,Orange,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,75973.0
171,2007-04,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,97981.0
172,2007-04,España,Telefonía móvil,Portabilidades,Vodafone,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,107935.0
173,2007-04,España,Telefonía móvil,Portabilidades,Yoigo,N/A,N/A,N/A,N/A,N/A,N/A,Exportados,Unidades,,,552.0
174,2007-04,España,Telefonía móvil,Portabilidades,Yoigo,N/A,N/A,N/A,N/A,N/A,N/A,Importados,Unidades,,,9002.0
175,2007-05,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle compartido,N/A,Unidades,647177.0,,
176,2007-05,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Bucle desagregado,N/A,Unidades,494709.0,,
177,2007-05,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Concentración ATM/IP,N/A,Unidades,374471.0,,
178,2007-05,España,Banda ancha fija mayorista,Líneas,N/A,N/A,N/A,N/A,N/A,N/A,Reventa,N/A,Unidades,163641.0,,
179,2007-05,España,Banda ancha fija minorista,Líneas,Euskaltel,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,153874.0,0.3,
180,2007-05,España,Banda ancha fija minorista,Líneas,Movistar,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,4098464.0,9.2,
181,2007-05,España,Banda ancha fija minorista,Líneas,Ono,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,1217996.0,2.7,
182,2007-05,España,Banda ancha fija minorista,Líneas,Resto,N/A,HFC,N/A,N/A,N/A,N/A,N/A,Unidades,184607.0,0.4,
183,2007-05,España,Banda ancha fija minorista,Líneas,Resto,N/A,xDSL,N/A,N/A,N/A,N/A,N/A,Unidades,1679998.0,3.8,
184,2007-05,España,Telefonía fija,Líneas,Euskaltel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,69942.0,0.2,
185,2007-05,España,Telefonía fija,Líneas,Euskaltel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,264452.0,0.6,
186,2007-05,España,Telefonía fija,Líneas,Jazztel,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,5030.0,0.0,
187,2007-05,España,Telefonía fija,Líneas,Jazztel,Residencial,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,171970.0,0.4,
188,2007-05,España,Telefonía fija,Líneas,Movistar,Negocios,N/A,N/A,N/A,N/A,N/A,N/A,Unidades,6418876.0,14.3,
