operador,servicio,id,mes,pais,concepto,segmento,tecnologia_de_acceso,contrato,terminal_de_telefonia_movil,linea_ba_movil,tipo_de_ba_mayorista,tipo_de_portabilidad,unidades,lineas,tasa_de_penetracion,portabilidades,periodo,key_periodo_operador_servicio,cuota_lineas,hhi_lineas
Orange,Banda ancha fija minorista,3854688,2014-01,España,Líneas,,xDSL,,,,,,,442354468.0,939.8,0.0,2014-01-31,2014-01-31|Orange|Banda ancha fija minorista,0.5194196248908541,0.500754243661803
Orange,Telefonía fija,2425227,2007-01,España,Líneas,Negocios,,,,,,,,498846571.0,1061.4,0.0,2007-01-31,2007-01-31|Orange|Telefonía fija,0.12513433229044682,0.41606900150785403
Orange,Telefonía móvil,4865846,2007-01,España,Líneas,,,Pospago,Sin tipo de terminal,,,,,2513762989.0,5381.7,49364018.0,2007-01-31,2007-01-31|Orange|Telefonía móvil,0.21877445223216724,0.2489658004587207
Otros,Banda ancha fija minorista,3893432,2007-01,España,Líneas,,HFC,,,,,,,292384643.0,624.3,0.0,2007-01-31,2007-01-31|Otros|Banda ancha fija minorista,0.168124123884418,0.555782999110095
Otros,Telefonía fija,1299591,2007-01,España,Líneas,Negocios,,,,,,,,48751933.0,104.5,0.0,2007-01-31,2007-01-31|Otros|Telefonía fija,0.012229292408674491,0.41606900150785403
Otros,Banda Ancha móvil,2427985,2015-01,España,Líneas,,,Pospago,,Líneas de voz y datos,,,,1411103301.0,2982.0,0.0,2015-01-31,2015-01-31|Otros|Banda Ancha móvil,0.3103724349145528,0.3041980681508244
Otros,Banda ancha fija minorista,4150679,2014-01,España,Líneas,,xDSL,,,,,,,409277713.0,867.7,0.0,2014-01-31,2014-01-31|Otros|Banda ancha fija minorista,0.48058037510914586,0.500754243661803
Otros,Telefonía fija,2864315,2007-01,España,Líneas,Negocios,,,,,,,,625710457.0,1329.9,0.0,2007-01-31,2007-01-31|Otros|Telefonía fija,0.15695779984392305,0.41606900150785403
Otros,Telefonía móvil,5743990,2007-01,España,Líneas,,,Pospago,Sin tipo de terminal,,,,,2983369307.0,6378.4,55194467.0,2007-01-31,2007-01-31|Otros|Telefonía móvil,0.2596446000682148,0.2489658004587207
Otros,Banda Ancha móvil,230807,2015-01,España,Líneas,,,Pospago,,Líneas de voz y datos,,,,63291820.0,136.1,0.0,2015-01-31,2015-01-31|Otros|Banda Ancha móvil,0.01392104764382065,0.3041980681508244
Otros,Telefonía móvil,1337925,2007-01,España,Líneas,,,Pospago,Sin tipo de terminal,,,,,261473773.0,561.6,8600343.0,2007-01-31,2007-01-31|Otros|Telefonía móvil,0.02275623505933997,0.2489658004587207
Otros,Banda Ancha móvil,1400488,2010-01,España,Líneas,,,,,Líneas exclusivas de datos,,,,330362449.0,705.1,0.0,2010-01-31,2010-01-31|Otros|Banda Ancha móvil,1.0,1.0
Otros,Banda ancha fija mayorista,11942660,2007-01,España,Líneas,,,,,,Bucle compartido,,,906075031.0,0.0,0.0,2007-01-31,2007-01-31|Otros|Banda ancha fija mayorista,1.0,1.0
Otros,Telefonía fija,1432492,2007-01,España,Portabilidades,,,,,,,,,0.0,0.0,32290488.0,2007-01-31,2007-01-31|Otros|Telefonía fija,0.0,0.41606900150785403
Otros,Telefonía móvil,1433603,2007-01,España,Líneas,,,,Asociados a máquinas,,,,,1178736912.0,2485.8,0.0,2007-01-31,2007-01-31|Otros|Telefonía móvil,0.10258625151897179,0.2489658004587207
