periodo,operador,id,anno,pais,tipo_de_mercado,servicio,concepto,tipo_de_ingreso,tipo_de_cliente,segmento,tipo_de_trafico,tipo_de_contrato,tipo_de_linea,tipo_de_mensaje,tipo_de_trafico_de_mensaje,tecnologia_de_acceso,velocidad_baf,tipo_de_oferta,tipo_de_tarifa,tipo_de_ce_minorista,tipo_de_circuito,tipo_de_emision,tipo_de_operador,tipo_de_medio,tipo_de_publicidad,tipo_de_contratacion,tipo_servicio_audiovisual_mayorista,tipo_de_ba_may,tipo_de_interconexion,tipo_de_tarificacion_en_interconexion,tipo_de_transmision_de_datos,tipo_de_ambito,tipo_de_acceso_de_infraestructuras,unidades,ingresos,ingresos_por_operador,clientes,clientes_por_operador,lineas_o_accesos,tasa_de_penetracion,lineas_o_accesos_por_operador,portabilidades,trafico,trafico_por_operador,mensajes,mensajes_por_operador_1,trafico_de_datos,trafico_de_datos_por_operador,circuitos,publicidad,contrataciones,fibra_oscura_por_operador,telefonos_publicos,cabinas,estaciones_base_por_operador,anio
,,180797,84420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2383.16,0.0,378996.0,0.0,0.0,2474769.0,0.0,0.0,21573.72,0.0,64.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,17008,8040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.43,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,30914,14070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.43,0.0,0.0,0.0,0.0,115745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,4222,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,8507,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.86,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,4319,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,4320,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,124992,56280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5657.97,0.0,1137097.0,0.0,0.0,21364824.0,0.0,0.0,41892.47,0.0,5223.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,53846,24120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,475.46,0.0,0.0,0.0,0.0,2316835.0,0.0,0.0,3412.55,0.0,505.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
,,1549688,715560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41209.26,8116.52,16071978.0,0.0,146621886.0,315.2,21481421.0,6601332.0,240950.24,0.0,14676.09,0.0,105.51,105.51,205724.0,2859919.0,10470012.0,0.0,54297.0,31733.0,87545.0,2010
