periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion,anio
,,,,,,123,2007,,,,,,114009.0,0.0,10.7,2007
,,,,,,113,2007,,,,,,7121.0,0.0,0.7,2007
,,,,,,124,2007,,,,,,8929.0,0.0,0.8,2007
,,,,,,128,2007,,,,,,213812.0,0.0,20.1,2007
,,,,,,103,2007,,,,,,1674.0,0.0,0.2,2007
,,,,,,345,6021,,,,,,0.0,1759.0,0.0,2007
,,,,,,117,2007,,,,,,159959.0,0.0,15.0,2007
,,,,,,152,2007,,,,,,3390.0,0.0,0.5,2007
,,,,,,166,2007,,,,,,2660.0,0.0,0.4,2007
,,,,,,153,2007,,,,,,47683.0,0.0,7.1,2007
,,,,,,167,2007,,,,,,213632.0,0.0,31.7,2007
,,,,,,172,2007,,,,,,168626.0,0.0,25.0,2007
,,,,,,309,4014,,,,,,27.0,0.0,0.0,2007
,,,,,,168,2007,,,,,,2730.0,0.0,0.4,2007
,,,,,,156,2007,,,,,,19055.0,0.0,2.8,2007
,,,,,,169,2007,,,,,,952.0,0.0,0.1,2007
,,,,,,173,2007,,,,,,122609.0,0.0,18.2,2007
,,,,,,157,2007,,,,,,1.0,0.0,0.0,2007
,,,,,,477,6021,,,,,,3440.0,0.0,0.5,2007
,,,,,,170,2007,,,,,,1051.0,0.0,0.2,2007
,,,,,,174,2007,,,,,,2285.0,0.0,0.3,2007
,,,,,,161,2007,,,,,,1767.0,0.0,0.3,2007
,,,,,,171,2007,,,,,,2232.0,0.0,0.3,2007
,,,,,,175,2007,,,,,,92427.0,0.0,13.7,2007
,,,,,,151,2007,,,,,,3794.0,0.0,0.6,2007
,,,,,,489,6021,,,,,,0.0,854.0,0.0,2007
,,,,,,165,2007,,,,,,30040.0,0.0,4.5,2007
,,,,,,177,2007,,,,,,4530.0,0.0,0.5,2007
,,,,,,190,2007,,,,,,3678.0,0.0,0.4,2007
,,,,,,178,2007,,,,,,144740.0,0.0,14.4,2007
,,,,,,191,2007,,,,,,436347.0,0.0,43.4,2007
,,,,,,196,2007,,,,,,277279.0,0.0,27.6,2007
,,,,,,359,4014,,,,,,49706.0,0.0,4.9,2007
,,,,,,192,2007,,,,,,71834.0,0.0,7.1,2007
,,,,,,181,2007,,,,,,18716.0,0.0,1.9,2007
,,,,,,193,2007,,,,,,702.0,0.0,0.1,2007
,,,,,,197,2007,,,,,,93289.0,0.0,9.3,2007
,,,,,,182,2007,,,,,,3.0,0.0,0.0,2007
,,,,,,367,4014,,,,,,1174.0,0.0,0.1,2007
,,,,,,194,2007,,,,,,228.0,0.0,0.0,2007
,,,,,,198,2007,,,,,,3331.0,0.0,0.3,2007
,,,,,,185,2007,,,,,,3985.0,0.0,0.4,2007
,,,,,,195,2007,,,,,,5171.0,0.0,0.5,2007
,,,,,,199,2007,,,,,,196261.0,0.0,19.5,2007
,,,,,,176,2007,,,,,,1489.0,0.0,0.1,2007
,,,,,,561,6021,,,,,,0.0,2353.0,0.0,2007
,,,,,,189,2007,,,,,,125264.0,0.0,12.5,2007
,,,,,,403,4014,,,,,,52514.0,0.0,1.0,2007
,,,,,,215,2007,,,,,,51423.0,0.0,1.0,2007
,,,,,,203,2007,,,,,,721748.0,0.0,13.6,2007
,,,,,,216,2007,,,,,,2441462.0,0.0,46.1,2007
,,,,,,221,2007,,,,,,1460284.0,0.0,27.6,2007
,,,,,,409,4014,,,,,,115564.0,0.0,2.2,2007
,,,,,,217,2007,,,,,,149301.0,0.0,2.8,2007
,,,,,,206,2007,,,,,,237908.0,0.0,4.5,2007
,,,,,,218,2007,,,,,,24439.0,0.0,0.5,2007
,,,,,,222,2007,,,,,,669966.0,0.0,12.6,2007
,,,,,,207,2007,,,,,,24.0,0.0,0.0,2007
,,,,,,417,4014,,,,,,16339.0,0.0,0.3,2007
,,,,,,219,2007,,,,,,60313.0,0.0,1.1,2007
,,,,,,223,2007,,,,,,19524.0,0.0,0.4,2007
,,,,,,210,2007,,,,,,61733.0,0.0,1.2,2007
,,,,,,220,2007,,,,,,77633.0,0.0,1.5,2007
,,,,,,224,2007,,,,,,1323072.0,0.0,25.0,2007
,,,,,,200,2007,,,,,,21175.0,0.0,0.4,2007
,,,,,,636,6021,,,,,,0.0,7027.0,0.0,2007
,,,,,,214,2007,,,,,,483537.0,0.0,9.1,2007
,,,,,,681,6021,,,,,,102077.0,0.0,8.9,2007
,,,,,,242,2007,,,,,,203249.0,0.0,17.8,2007
,,,,,,459,4014,,,,,,2959.0,0.0,0.3,2007
,,,,,,243,2007,,,,,,2928.0,0.0,0.3,2007
,,,,,,231,2007,,,,,,79865.0,0.0,7.0,2007
,,,,,,244,2007,,,,,,347365.0,0.0,30.4,2007
,,,,,,249,2007,,,,,,266905.0,0.0,23.4,2007
,,,,,,232,2007,,,,,,1.0,0.0,0.0,2007
,,,,,,245,2007,,,,,,1679.0,0.0,0.1,2007
,,,,,,233,2007,,,,,,16092.0,0.0,1.4,2007
,,,,,,246,2007,,,,,,2422.0,0.0,0.2,2007
,,,,,,250,2007,,,,,,66892.0,0.0,5.9,2007
,,,,,,234,2007,,,,,,7.0,0.0,0.0,2007
,,,,,,471,4014,,,,,,1875.0,0.0,0.2,2007
,,,,,,247,2007,,,,,,1615.0,0.0,0.1,2007
,,,,,,251,2007,,,,,,104736.0,0.0,9.2,2007
,,,,,,237,2007,,,,,,6800.0,0.0,0.6,2007
,,,,,,248,2007,,,,,,8538.0,0.0,0.7,2007
,,,,,,252,2007,,,,,,277337.0,0.0,24.3,2007
,,,,,,225,2007,,,,,,1563.0,0.0,0.1,2007
,,,,,,717,6021,,,,,,0.0,1673.0,0.0,2007
,,,,,,241,2007,,,,,,71646.0,0.0,6.3,2007
,,,,,,254,2007,,,,,,1374.0,0.0,0.4,2007
,,,,,,267,2007,,,,,,1121.0,0.0,0.3,2007
,,,,,,255,2007,,,,,,26291.0,0.0,7.2,2007
,,,,,,268,2007,,,,,,142596.0,0.0,39.0,2007
,,,,,,273,2007,,,,,,101102.0,0.0,27.7,2007
,,,,,,513,4014,,,,,,15412.0,0.0,4.2,2007
,,,,,,269,2007,,,,,,18529.0,0.0,5.1,2007
,,,,,,258,2007,,,,,,9941.0,0.0,2.7,2007
,,,,,,270,2007,,,,,,1105.0,0.0,0.3,2007
,,,,,,274,2007,,,,,,54899.0,0.0,15.0,2007
,,,,,,259,2007,,,,,,5.0,0.0,0.0,2007
,,,,,,521,4014,,,,,,2126.0,0.0,0.5,2007
,,,,,,271,2007,,,,,,1652.0,0.0,0.5,2007
,,,,,,275,2007,,,,,,1188.0,0.0,0.3,2007
,,,,,,262,2007,,,,,,1542.0,0.0,0.4,2007
,,,,,,272,2007,,,,,,1926.0,0.0,0.5,2007
,,,,,,276,2007,,,,,,49422.0,0.0,13.5,2007
,,,,,,253,2007,,,,,,8772.0,0.0,2.4,2007
,,,,,,792,6021,,,,,,0.0,741.0,0.0,2007
,,,,,,266,2007,,,,,,27835.0,0.0,7.6,2007
,,,,,,325,2007,,,,,,1859.0,0.0,0.3,2007
,,,,,,338,2007,,,,,,1453.0,0.0,0.3,2007
,,,,,,326,2007,,,,,,46993.0,0.0,8.3,2007
,,,,,,339,2007,,,,,,174871.0,0.0,30.8,2007
,,,,,,344,2007,,,,,,160693.0,0.0,28.3,2007
,,,,,,655,4014,,,,,,44076.0,0.0,7.8,2007
,,,,,,340,2007,,,,,,64836.0,0.0,11.4,2007
,,,,,,329,2007,,,,,,11191.0,0.0,2.0,2007
,,,,,,341,2007,,,,,,345.0,0.0,0.1,2007
,,,,,,345,2007,,,,,,83606.0,0.0,14.7,2007
,,,,,,330,2007,,,,,,4.0,0.0,0.0,2007
,,,,,,663,4014,,,,,,633.0,0.0,0.1,2007
,,,,,,342,2007,,,,,,788.0,0.0,0.1,2007
,,,,,,346,2007,,,,,,494.0,0.0,0.1,2007
,,,,,,333,2007,,,,,,3654.0,0.0,0.6,2007
,,,,,,343,2007,,,,,,4549.0,0.0,0.8,2007
,,,,,,347,2007,,,,,,64041.0,0.0,11.3,2007
,,,,,,324,2007,,,,,,2657.0,0.0,0.5,2007
,,,,,,1005,6021,,,,,,0.0,1027.0,0.0,2007
,,,,,,337,2007,,,,,,67506.0,0.0,11.9,2007
,,,,,,699,4014,,,,,,2153.0,0.0,0.4,2007
,,,,,,363,2007,,,,,,3604.0,0.0,0.6,2007
,,,,,,351,2007,,,,,,44219.0,0.0,7.8,2007
,,,,,,364,2007,,,,,,186963.0,0.0,32.9,2007
,,,,,,369,2007,,,,,,131082.0,0.0,23.1,2007
,,,,,,705,4014,,,,,,39641.0,0.0,7.0,2007
,,,,,,365,2007,,,,,,45741.0,0.0,8.1,2007
,,,,,,354,2007,,,,,,8311.0,0.0,1.5,2007
,,,,,,366,2007,,,,,,491.0,0.0,0.1,2007
,,,,,,370,2007,,,,,,84314.0,0.0,14.9,2007
,,,,,,355,2007,,,,,,4.0,0.0,0.0,2007
,,,,,,713,4014,,,,,,691.0,0.0,0.1,2007
,,,,,,367,2007,,,,,,823.0,0.0,0.1,2007
,,,,,,371,2007,,,,,,2515.0,0.0,0.4,2007
,,,,,,358,2007,,,,,,4254.0,0.0,0.7,2007
,,,,,,368,2007,,,,,,5335.0,0.0,0.9,2007
,,,,,,372,2007,,,,,,91236.0,0.0,16.1,2007
,,,,,,348,2007,,,,,,2591.0,0.0,0.5,2007
,,,,,,1080,6021,,,,,,0.0,940.0,0.0,2007
,,,,,,362,2007,,,,,,54316.0,0.0,9.6,2007
,,,,,,747,4014,,,,,,231.0,0.0,0.3,2007
,,,,,,383,2007,,,,,,178.0,0.0,0.2,2007
,,,,,,375,2007,,,,,,9959.0,0.0,13.4,2007
,,,,,,384,2007,,,,,,22482.0,0.0,30.3,2007
,,,,,,388,2007,,,,,,16383.0,0.0,22.1,2007
,,,,,,385,2007,,,,,,32.0,0.0,0.0,2007
,,,,,,376,2007,,,,,,920.0,0.0,1.2,2007
,,,,,,389,2007,,,,,,6800.0,0.0,9.2,2007
,,,,,,377,2007,,,,,,7.0,0.0,0.0,2007
,,,,,,386,2007,,,,,,90.0,0.0,0.1,2007
,,,,,,390,2007,,,,,,180.0,0.0,0.2,2007
,,,,,,378,2007,,,,,,91.0,0.0,0.1,2007
,,,,,,387,2007,,,,,,111.0,0.0,0.1,2007
,,,,,,391,2007,,,,,,4090.0,0.0,5.5,2007
,,,,,,1140,6021,,,,,,0.0,66.0,0.0,2007
,,,,,,382,2007,,,,,,4197.0,0.0,5.7,2007
,,,,,,787,4014,,,,,,1937.0,0.0,0.4,2007
,,,,,,408,2007,,,,,,1529.0,0.0,0.3,2007
,,,,,,395,2007,,,,,,38692.0,0.0,7.6,2007
,,,,,,409,2007,,,,,,159274.0,0.0,31.3,2007
,,,,,,414,2007,,,,,,131692.0,0.0,25.9,2007
,,,,,,793,4014,,,,,,8932.0,0.0,1.8,2007
,,,,,,410,2007,,,,,,11750.0,0.0,2.3,2007
,,,,,,398,2007,,,,,,8204.0,0.0,1.6,2007
,,,,,,411,2007,,,,,,77.0,0.0,0.0,2007
,,,,,,415,2007,,,,,,73135.0,0.0,14.4,2007
,,,,,,399,2007,,,,,,1.0,0.0,0.0,2007
,,,,,,1203,6021,,,,,,4902.0,0.0,0.9,2007
,,,,,,412,2007,,,,,,1806.0,0.0,0.4,2007
,,,,,,416,2007,,,,,,1340.0,0.0,0.3,2007
,,,,,,403,2007,,,,,,1220.0,0.0,0.2,2007
,,,,,,413,2007,,,,,,1547.0,0.0,0.3,2007
,,,,,,417,2007,,,,,,86149.0,0.0,16.9,2007
,,,,,,392,2007,,,,,,2848.0,0.0,0.6,2007
,,,,,,1215,6021,,,,,,0.0,752.0,0.0,2007
,,,,,,407,2007,,,,,,40184.0,0.0,7.9,2007
,,,,,,445,2007,,,,,,2211.0,0.0,0.2,2007
,,,,,,461,2007,,,,,,2194.0,0.0,0.2,2007
,,,,,,446,2007,,,,,,69498.0,0.0,6.2,2007
,,,,,,462,2007,,,,,,346575.0,0.0,30.9,2007
,,,,,,468,2007,,,,,,337104.0,0.0,30.1,2007
,,,,,,895,4014,,,,,,2382.0,0.0,0.2,2007
,,,,,,463,2007,,,,,,5066.0,0.0,0.5,2007
,,,,,,449,2007,,,,,,14548.0,0.0,1.3,2007
,,,,,,464,2007,,,,,,629.0,0.0,0.1,2007
,,,,,,469,2007,,,,,,80075.0,0.0,7.1,2007
,,,,,,1353,6021,,,,,,65867.0,0.0,5.9,2007
,,,,,,465,2007,,,,,,121522.0,0.0,10.8,2007
,,,,,,1362,6021,,,,,,931.0,0.0,0.1,2007
,,,,,,466,2007,,,,,,2603.0,0.0,0.2,2007
,,,,,,470,2007,,,,,,3693.0,0.0,0.3,2007
,,,,,,456,2007,,,,,,3696.0,0.0,0.3,2007
,,,,,,467,2007,,,,,,4684.0,0.0,0.4,2007
,,,,,,471,2007,,,,,,227049.0,0.0,20.2,2007
,,,,,,444,2007,,,,,,4297.0,0.0,0.4,2007
,,,,,,1374,6021,,,,,,0.0,1937.0,0.0,2007
,,,,,,460,2007,,,,,,81751.0,0.0,7.3,2007
,,,,,,473,2007,,,,,,549.0,0.0,0.3,2007
,,,,,,484,2007,,,,,,437.0,0.0,0.2,2007
,,,,,,474,2007,,,,,,13980.0,0.0,6.6,2007
,,,,,,485,2007,,,,,,77530.0,0.0,36.7,2007
,,,,,,490,2007,,,,,,59487.0,0.0,28.2,2007
,,,,,,475,2007,,,,,,3845.0,0.0,1.8,2007
,,,,,,486,2007,,,,,,4772.0,0.0,2.3,2007
,,,,,,476,2007,,,,,,2709.0,0.0,1.3,2007
,,,,,,487,2007,,,,,,124.0,0.0,0.1,2007
,,,,,,491,2007,,,,,,23288.0,0.0,11.0,2007
,,,,,,955,4014,,,,,,53.0,0.0,0.0,2007
,,,,,,488,2007,,,,,,683.0,0.0,0.3,2007
,,,,,,492,2007,,,,,,411.0,0.0,0.2,2007
,,,,,,479,2007,,,,,,448.0,0.0,0.2,2007
,,,,,,489,2007,,,,,,562.0,0.0,0.3,2007
,,,,,,493,2007,,,,,,17429.0,0.0,8.3,2007
,,,,,,472,2007,,,,,,3819.0,0.0,1.8,2007
,,,,,,1443,6021,,,,,,0.0,500.0,0.0,2007
,,,,,,483,2007,,,,,,11465.0,0.0,5.4,2007
,,,,,,278,2007,,,,,,3125.0,0.0,0.8,2007
,,,,,,289,2007,,,,,,2461.0,0.0,0.6,2007
,,,,,,279,2007,,,,,,32840.0,0.0,8.1,2007
,,,,,,290,2007,,,,,,143715.0,0.0,35.2,2007
