anio,fecha,operador,mercado,servicio,tipo_de_ingreso,ingresos,id,pais,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
10055,2011-01-01,Movistar,nan,Datos generales,nan,0,2376,España,Gastos de explotación,nan,Millones de euros,17710.74,302980,0.0,2890.91,357.26
4022,2011-01-01,Otros,nan,Datos generales,nan,0,930,España,Gastos de explotación,nan,Millones de euros,0.0,29510,0.0,0.0,38.73
10055,2011-01-01,Orange,nan,Datos generales,nan,0,2400,España,Gastos de explotación,nan,Millones de euros,4013.19,30020,0.0,989.99,77.99
4022,2011-01-01,Otros,nan,Datos generales,nan,0,946,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,65170,0.0,77.3,0.0
10055,2011-01-01,Resto,nan,Datos generales,nan,0,2405,España,Gastos de explotación,nan,Millones de euros,10426.39,255960,0.0,1082.55,147.84
2011,2011-01-01,Otros,nan,Datos generales,nan,0,478,España,Número de empleados,nan,Unidades,0.0,19810,0.0,0.0,0.0
10055,2011-01-01,Vodafone,nan,Datos generales,nan,0,2413,España,Gastos de explotación,nan,Millones de euros,5675.72,43920,0.0,573.17,86.71
2011,2011-01-01,Otros,nan,Datos generales,nan,0,460,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,14.32
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Alquiler de circuitos,74129,485,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Banda Ancha móvil,21563,500,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Banda ancha fija,383372,499,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Banda ancha fija mayorista,54557,486,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Comunicaciones de Empresa,151221,501,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Contenidos audiovisuales,10689,487,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Interconexión fija,166822,488,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Interconexión móvil,244324,489,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Otros servicios mayoristas,55378,490,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Otros servicios minoristas,123241,502,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Servicios audiovisuales,401814,503,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Servicios de información telefónica,6306,504,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Telefonía fija,537235,505,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Telefonía móvil,1130523,506,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Transmisión de datos,4188,491,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio mayorista,Datos generales,Transporte y difusión de la señal audiovisual,41351,492,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2011,2011-01-01,Nan,Servicio minorista,Datos generales,Venta y alquiler de terminales,18814,507,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
6033,2011-01-01,Nan,nan,Datos generales,nan,0,1443,España,Paquetes,Resto,Unidades,0.0,0,10565843.0,0.0,0.0
2012,2012-01-01,Otros,nan,Datos generales,nan,0,512,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,28.28
10060,2012-01-01,Otros,nan,Datos generales,nan,0,2663,España,Gastos de explotación,nan,Millones de euros,51.3,600,0.0,0.35,0.19
2012,2012-01-01,Otros,nan,Datos generales,nan,0,522,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,119.19,0.0
8048,2012-01-01,Otros,nan,Datos generales,nan,0,2125,España,Gastos de explotación,nan,Millones de euros,14.94,500,0.0,1.69,1.62
2012,2012-01-01,Otros,nan,Datos generales,nan,0,514,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,18.89
2012,2012-01-01,Otros,nan,Datos generales,nan,0,524,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,187.87,0.0
10060,2012-01-01,Movistar,nan,Datos generales,nan,0,2676,España,Gastos de explotación,nan,Millones de euros,15472.63,273700,0.0,1648.3,357.82
4024,2012-01-01,Otros,nan,Datos generales,nan,0,1049,España,Gastos de explotación,nan,Millones de euros,0.0,27760,0.0,0.0,29.67
10060,2012-01-01,Orange,nan,Datos generales,nan,0,2700,España,Gastos de explotación,nan,Millones de euros,4038.04,39620,0.0,479.87,69.07
4024,2012-01-01,Otros,nan,Datos generales,nan,0,1064,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,63190,0.0,53.67,0.0
10060,2012-01-01,Resto,nan,Datos generales,nan,0,2705,España,Gastos de explotación,nan,Millones de euros,10378.6,213400,0.0,966.48,149.29
2012,2012-01-01,Otros,nan,Datos generales,nan,0,537,España,Número de empleados,nan,Unidades,0.0,20490,0.0,0.0,0.0
10060,2012-01-01,Vodafone,nan,Datos generales,nan,0,2713,España,Gastos de explotación,nan,Millones de euros,5143.469999999999,42060,0.0,588.2,101.81
2012,2012-01-01,Otros,nan,Datos generales,nan,0,520,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,15.16
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Alquiler de circuitos,74775,546,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Banda Ancha móvil,277324,561,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Banda ancha fija,36590,560,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Banda ancha fija mayorista,59329,547,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Comunicaciones de Empresa,151171,562,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Contenidos audiovisuales,15749,548,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Interconexión fija,167912,549,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Interconexión móvil,202196,550,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Otros servicios mayoristas,52219,551,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Otros servicios minoristas,122729,563,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Servicios audiovisuales,360394,564,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Servicios de información telefónica,5129,565,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Telefonía fija,481455,566,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Telefonía móvil,937905,567,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Transmisión de datos,5117,552,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio mayorista,Datos generales,Transporte y difusión de la señal audiovisual,3945,553,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2012,2012-01-01,Nan,Servicio minorista,Datos generales,Venta y alquiler de terminales,191147,568,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
10060,2012-01-01,Nan,nan,Datos generales,nan,0,2705,España,Paquetes,Resto,Unidades,0.0,0,10858315.0,0.0,0.0
2013,2013-01-01,Otros,nan,Datos generales,nan,0,582,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,0.01,0.0
2013,2013-01-01,Otros,nan,Datos generales,nan,0,573,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,29.78
10065,2013-01-01,Otros,nan,Datos generales,nan,0,2972,España,Gastos de explotación,nan,Millones de euros,48.24,710,0.0,0.02,0.21
2013,2013-01-01,Otros,nan,Datos generales,nan,0,584,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,42.56,0.0
8052,2013-01-01,Otros,nan,Datos generales,nan,0,2372,España,Gastos de explotación,nan,Millones de euros,17.02,380,0.0,1.44,1.09
2013,2013-01-01,Otros,nan,Datos generales,nan,0,575,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,22.71
2013,2013-01-01,Otros,nan,Datos generales,nan,0,586,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,177.89,0.0
10065,2013-01-01,Movistar,nan,Datos generales,nan,0,2985,España,Gastos de explotación,nan,Millones de euros,13534.5,260600,0.0,1502.67,269.25
4026,2013-01-01,Otros,nan,Datos generales,nan,0,1172,España,Gastos de explotación,nan,Millones de euros,0.0,25430,0.0,0.0,26.85
10065,2013-01-01,Orange,nan,Datos generales,nan,0,3009,España,Gastos de explotación,nan,Millones de euros,4049.43,39860,0.0,588.65,67.95
4026,2013-01-01,Otros,nan,Datos generales,nan,0,1188,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,63250,0.0,49.4,0.0
10065,2013-01-01,Resto,nan,Datos generales,nan,0,3014,España,Gastos de explotación,nan,Millones de euros,10358.63,194950,0.0,1042.5,80.86
2013,2013-01-01,Otros,nan,Datos generales,nan,0,599,España,Número de empleados,nan,Unidades,0.0,24350,0.0,0.0,0.0
10065,2013-01-01,Vodafone,nan,Datos generales,nan,0,3022,España,Gastos de explotación,nan,Millones de euros,4541.37,36140,0.0,489.97,133.67
2013,2013-01-01,Otros,nan,Datos generales,nan,0,581,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,14.44
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Alquiler de circuitos,7271,608,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Banda Ancha móvil,331493,623,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Banda ancha fija,355881,622,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Banda ancha fija mayorista,65382,609,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio minorista,Datos generales,Comunicaciones de Empresa,145035,624,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2013,2013-01-01,Nan,Servicio mayorista,Datos generales,Contenidos audiovisuales,20194,610,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
